modelo,impulso,resposta,h,lags,coef,se,t,pvalor,ci_low,ci_high,significativo_90,nobs,r2,hac_maxlags,bloco
bloco_B_principal_dln_etanol_para_ipca_geral_mensal,dln_etanol,ipca_geral_mensal,3,3,0.03337658371028329,0.05065438395461031,0.65890809648758,0.5099547863763245,-0.04994246345844994,0.11669563087901652,False,266,0.6598621581338022,4,B_combustiveis_para_ipca
bloco_B_principal_dln_etanol_para_ipca_geral_mensal,dln_etanol,ipca_geral_mensal,6,3,0.03797890821484018,0.06627029371499003,0.5730909897302828,0.5665830876420661,-0.07102602476140053,0.14698384119108088,False,263,0.6163431313826178,7,B_combustiveis_para_ipca
bloco_B_principal_dln_etanol_para_ipca_geral_mensal,dln_etanol,ipca_geral_mensal,12,3,0.002720951882909328,0.11607651891766746,0.02344101897851784,0.9812984855722,-0.18820793126271718,0.19364983502853583,False,257,0.535056368577651,13,B_combustiveis_para_ipca
bloco_B_principal_dln_etanol_para_ipca_geral_mensal,dln_etanol,ipca_geral_mensal,24,3,-0.03269782076797667,0.15237488307740793,-0.2145879957877694,0.8300885538938501,-0.2833321998541576,0.21793655831820424,False,245,0.4898189781131711,25,B_combustiveis_para_ipca
bloco_B_principal_dln_etanol_para_ipca_transporte_mensal,dln_etanol,ipca_transporte_mensal,3,3,0.5942772130968484,0.16845054744319032,3.527903127161207,0.0004188654175880657,0.3172007191729558,0.8713537070207411,True,266,0.45822767158186584,4,B_combustiveis_para_ipca
bloco_B_principal_dln_etanol_para_ipca_transporte_mensal,dln_etanol,ipca_transporte_mensal,6,3,0.8196456295743739,0.1894378893651982,4.3267248823399935,1.5134279753192814e-05,0.5080480301699959,1.131243228978752,True,263,0.43816547370646386,7,B_combustiveis_para_ipca
bloco_B_principal_dln_etanol_para_ipca_transporte_mensal,dln_etanol,ipca_transporte_mensal,12,3,0.8228534293906753,0.30266723428203984,2.718673632917599,0.00655442446289678,0.32501013132249107,1.3206967274588595,True,257,0.4363163140424311,13,B_combustiveis_para_ipca
bloco_B_principal_dln_etanol_para_ipca_transporte_mensal,dln_etanol,ipca_transporte_mensal,24,3,0.698969372242475,0.20719832589715356,3.3734315623255586,0.0007423749838502136,0.35815845439226884,1.0397802900926811,True,245,0.4712927854404301,25,B_combustiveis_para_ipca
bloco_B_principal_dln_gasolina_refinaria_para_ipca_geral_mensal,dln_gasolina_refinaria,ipca_geral_mensal,3,3,-0.08420415991549557,0.8021597247859769,-0.1049718121138056,0.9163981757941075,-1.4036394926241043,1.2352311727931133,False,266,0.6777590004831325,4,B_combustiveis_para_ipca
bloco_B_principal_dln_gasolina_refinaria_para_ipca_geral_mensal,dln_gasolina_refinaria,ipca_geral_mensal,6,3,-1.3268493033537057,1.2445002541831809,-1.0661703755332488,0.28634663116942516,-3.37387006018894,0.7201714534815287,False,263,0.6523761815794691,7,B_combustiveis_para_ipca
bloco_B_principal_dln_gasolina_refinaria_para_ipca_geral_mensal,dln_gasolina_refinaria,ipca_geral_mensal,12,3,-1.5675580087479393,1.5615230284220247,-1.003864803922881,0.31544378328962197,-4.136034825616154,1.0009188081202751,False,257,0.5791964403762737,13,B_combustiveis_para_ipca
bloco_B_principal_dln_gasolina_refinaria_para_ipca_geral_mensal,dln_gasolina_refinaria,ipca_geral_mensal,24,3,0.32013128453111417,2.0694120416771544,0.1546967341852635,0.8770604047430539,-3.083748617878604,3.7240111869408326,False,245,0.5668514291931466,25,B_combustiveis_para_ipca
bloco_B_principal_dln_gasolina_refinaria_para_ipca_transporte_mensal,dln_gasolina_refinaria,ipca_transporte_mensal,3,3,3.783307431086465,4.278218129888019,0.8843184980812308,0.3765243053761602,-3.2537351767493883,10.820350038922317,False,266,0.4729553622880306,4,B_combustiveis_para_ipca
bloco_B_principal_dln_gasolina_refinaria_para_ipca_transporte_mensal,dln_gasolina_refinaria,ipca_transporte_mensal,6,3,-0.9632492529572692,5.668544913150535,-0.16992883847892146,0.8650661011147853,-10.287175912890245,8.360677406975707,False,263,0.4858347957470871,7,B_combustiveis_para_ipca
bloco_B_principal_dln_gasolina_refinaria_para_ipca_transporte_mensal,dln_gasolina_refinaria,ipca_transporte_mensal,12,3,-0.6765172446543959,6.353278783192197,-0.1064831668404264,0.9151990103869543,-11.126730894221918,9.773696404913125,False,257,0.45994018410600845,13,B_combustiveis_para_ipca
bloco_B_principal_dln_gasolina_refinaria_para_ipca_transporte_mensal,dln_gasolina_refinaria,ipca_transporte_mensal,24,3,5.383398729102138,6.693203479474252,0.8043082427736086,0.42121897841508416,-5.625941290035298,16.392738748239573,False,245,0.4709266232615176,25,B_combustiveis_para_ipca
bloco_C_complementar_brent_brl_para_ipca_geral_mensal,dln_petroleo_brl,ipca_geral_mensal,3,3,0.05093003321177497,0.05181065304295943,0.9830031126908537,0.3256059066929009,-0.03429090736066118,0.13615097378421112,False,266,0.6603269112770036,4,C_brent_brl_para_ipca_complementar
bloco_C_complementar_brent_brl_para_ipca_geral_mensal,dln_petroleo_brl,ipca_geral_mensal,6,3,0.005733132343808123,0.06534495958852134,0.08773641272272237,0.9300861780354981,-0.10174976143836857,0.11321602612598482,False,263,0.6144811706316657,7,C_brent_brl_para_ipca_complementar
bloco_C_complementar_brent_brl_para_ipca_geral_mensal,dln_petroleo_brl,ipca_geral_mensal,12,3,-0.0212054082434997,0.0875251792955958,-0.24227780410347288,0.8085649112754203,-0.16517151685743836,0.12276070037043896,False,257,0.5353441776999267,13,C_brent_brl_para_ipca_complementar
bloco_C_complementar_brent_brl_para_ipca_geral_mensal,dln_petroleo_brl,ipca_geral_mensal,24,3,-0.21353218985394684,0.12430368130925996,-1.7178267578632027,0.08582821933951568,-0.417993550898903,-0.009070828808990655,True,245,0.4988828205116609,25,C_brent_brl_para_ipca_complementar
bloco_C_complementar_brent_brl_para_ipca_transporte_mensal,dln_petroleo_brl,ipca_transporte_mensal,3,3,0.40538062818882226,0.15233593976212917,2.661096447902048,0.007788664326589867,0.15481030515602312,0.6559509512216214,True,266,0.4350137116247885,4,C_brent_brl_para_ipca_complementar
bloco_C_complementar_brent_brl_para_ipca_transporte_mensal,dln_petroleo_brl,ipca_transporte_mensal,6,3,0.2796153991409482,0.17455896285463768,1.6018392557350107,0.10919115984527639,-0.0075085440273899295,0.5667393423092864,False,263,0.39887049800130403,7,C_brent_brl_para_ipca_complementar
bloco_C_complementar_brent_brl_para_ipca_transporte_mensal,dln_petroleo_brl,ipca_transporte_mensal,12,3,0.2043641592876477,0.24067976786327955,0.8491123333795915,0.39581878821910665,-0.19151882981610605,0.6002471483914015,False,257,0.4162964001903636,13,C_brent_brl_para_ipca_complementar
bloco_C_complementar_brent_brl_para_ipca_transporte_mensal,dln_petroleo_brl,ipca_transporte_mensal,24,3,-0.14539466411062824,0.249854795548513,-0.5819166439909204,0.56062282890574,-0.5563692307798185,0.26557990255856195,False,245,0.46494815462174344,25,C_brent_brl_para_ipca_complementar
