h,coef,se,t,pvalor,ci_low,ci_high,nobs,arquivo,h_ref
3.0,-0.0102279557335443,0.0228082184740864,-0.4484329078645422,0.6538407965601098,-0.0477474751234165,0.0272915636563278,266.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_etanol_para_ipca_geral.csv,3
6.0,-1.060777618042694e-05,0.0157980191163532,-0.0006714624221112,0.9994642505404964,-0.0259983492225814,0.0259771336702205,263.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_etanol_para_ipca_geral.csv,6
12.0,-0.01479626922545,0.0181692819563379,-0.8143562998805646,0.4154408656016771,-0.0446847380436259,0.0150921995927258,257.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_etanol_para_ipca_geral.csv,12
24.0,-0.0274640224823095,0.0123047185370017,-2.231991117856289,0.0256155499798936,-0.0477052844756773,-0.0072227604889416,245.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_etanol_para_ipca_geral.csv,24
3.0,-0.0289634447360932,0.0697746155600274,-0.4151000260427932,0.6780686803879159,-0.1437426873323384,0.0858157978601518,266.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_etanol_para_ipca_transporte.csv,3
6.0,0.093797935995999,0.0540309922644866,1.7360024694132876,0.0825633979292616,0.0049169537209185,0.1826789182710795,263.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_etanol_para_ipca_transporte.csv,6
12.0,-0.0364821339012568,0.0438853820932696,-0.8313049166057476,0.4058013978137931,-0.1086735874446854,0.0357093196421716,257.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_etanol_para_ipca_transporte.csv,12
24.0,-0.0849330822632879,0.0460077540117684,-1.8460601715433156,0.0648834690627924,-0.160615837612647,-0.0092503269139288,245.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_etanol_para_ipca_transporte.csv,24
3.0,-0.0064872351044899,0.0200811941727066,-0.3230502652729243,0.7466571749610262,-0.0395207995185923,0.0265463293096124,266.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_gasolina_para_ipca_geral.csv,3
6.0,-0.0044651315595329,0.0150668679015512,-0.2963543311528776,0.7669594980629904,-0.0292501292575846,0.0203198661385187,263.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_gasolina_para_ipca_geral.csv,6
12.0,-0.0021558757063409,0.0238778435029137,-0.0902877056748407,0.9280585896981188,-0.0414349282686341,0.0371231768559521,257.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_gasolina_para_ipca_geral.csv,12
24.0,-0.0384137096552479,0.0139217919766416,-2.759250369471075,0.005793413025847,-0.0613150574568234,-0.0155123618536724,245.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_gasolina_para_ipca_geral.csv,24
3.0,-0.0020639050881379,0.0510196599811001,-0.0404531329472316,0.9677318709206196,-0.0859912457570477,0.0818634355807717,266.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_gasolina_para_ipca_transporte.csv,3
